"","Localidad","year","empresas","telefonos","bancos","ind_turismo"
"287","CERCEDILLA",1965,1,13.472706155633,-1,-19.4
"288","CERCEDILLA",1967,-1,6.14124872057318,-1,-17
"289","CERCEDILLA",1969,0,20.6364513018322,0,-10.8
"290","CERCEDILLA",1971,0,21.1830535571543,0,-5.9
"291","CERCEDILLA",1973,0,4.08970976253298,0,-4.6
"292","CERCEDILLA",1975,0,19.5183776932826,0,17.2
"293","CERCEDILLA",1977,0,-2.22693531283139,0,-5.6
"294","CERCEDILLA",1979,0,20.0650759219089,0,-3.6
"295","CERCEDILLA",1981,0,13.2791327913279,1,-0.799999999999999
"296","CERCEDILLA",1983,0,6.2200956937799,0,1.5
"297","CERCEDILLA",1985,1,21.8468468468468,0,-2.5
"298","CERCEDILLA",1987,4,-9.79667282809612,0,-2.8
"299","CERCEDILLA",1989,2,6.28415300546448,0,1.4
"300","CERCEDILLA",1991,-4,5.07712082262211,0,0
"302","CULLERA",1965,2,49.2,0,-3.09999999999999
"303","CULLERA",1967,0,49.1510277033065,1,-9.40000000000001
"304","CULLERA",1969,-2,28.4601557819053,1,21.3
"305","CULLERA",1971,1,14.365671641791,0,-30.4
"306","CULLERA",1973,-1,5.70962479608483,0,-5.40000000000001
"307","CULLERA",1975,0,28.8194444444444,0,-8.09999999999999
"308","CULLERA",1977,4,10.7217729859239,2,37.9
"309","CULLERA",1979,1,10.2786042737355,0,-14.5
"310","CULLERA",1981,-5,21.0939416237429,0,-9.89999999999999
"311","CULLERA",1983,6,22.2604820741341,0,-9.40000000000001
"312","CULLERA",1985,3,6.62690523525514,0,-10.6
"313","CULLERA",1987,-4,15.5686761963953,0,-7
"314","CULLERA",1989,7,6.92390427534283,0,-5.7
"315","CULLERA",1991,4,10.6626430277883,1,-2
"317","DEBA",1965,0,136.80981595092,0,26.3
"318","DEBA",1967,0,8.41968911917098,0,-31.6
"319","DEBA",1969,1,17.0848267622461,0,-11.6
"320","DEBA",1971,0,12.5510204081633,0,-14.4
"321","DEBA",1973,-1,32.6382592928377,0,-5.5
"322","DEBA",1975,2,24.3335611756664,0,-7.9
"323","DEBA",1977,-1,8.79604178119846,0,-3.9
"324","DEBA",1979,3,-9.09550277918141,0,1.3
"325","DEBA",1981,-3,57.3652028904947,0,-5.9
"326","DEBA",1983,3,-38.6435888378665,0,-1.9
"327","DEBA",1985,-3,6.44789867587795,0,-0.800000000000001
