;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
308.;OBRAS Y VIVIENDAS SA (EXTINGUIDA);A41018904;SEVILLA;ESPANA;U1;31/12/2007;3.657
309.;AQUALIA INDUSTRIAL SOLUTIONS SA. (EXTINGUIDA);A48038210;MADRID;ESPANA;U1;31/12/2014;3.562
310.;ELAY SA (EXTINGUIDA);A20033254;ANTZUOLA;ESPANA;U2;31/12/2000;3.546
311.;MALLAS BETICAS SA;A28154029;ALCALA DE GUADAIRA;ESPANA;U1;31/12/2004;3.546
312.;FABRICA DE RECAUCHUTADOS SA (EXTINGUIDA);A28144897;LEGANES;ESPANA;U1;31/12/2008;3.523
313.;MANUEL RIEGO PORRIÑO, SA;A36002285;O PORRIÑO;ESPANA;U1;31/12/2010;3.431
314.;FAVIDEMA SL  (EXTINGUIDA);B28172484;MADRID;ESPANA;U1;31/12/2009;3.421
315.;CETISA EDITORES S.A. (EXTINGUIDA);A08187585;MADRID;ESPANA;U1;31/12/2006;3.407
316.;BONSER ESPAÑOLA SA (EN LIQUIDACION);A08185464;BARCELONA;ESPANA;U1;31/10/2009;3.378
317.;INMOBILIARIA INTERIOR SA (EXTINGUIDA);A08195869;BARCELONA;ESPANA;U1;31/12/2018;3.368
318.;COLEGIO HISPANIA SL;B30603096;CARTAGENA;ESPANA;U1;31/12/2018;3.364
319.;LLANSA SOCIEDAD ANONIMA;A17012147;LLANÇA;ESPANA;U1;31/12/2021;3.363
320.;ASTILLEROS PLACERES SL;B36002368;PONTEVEDRA;ESPANA;U1;31/12/2021;3.358
321.;HIJO DE JOSE MARIA MASIQUES SA;A08188260;BARCELONA;ESPANA;U1;31/12/2021;3.343
322.;ELECTRONICA VILLBAR SA;A28144731;MADRID;ESPANA;U1;31/12/2021;3.293
323.;REFRACTARIOS TEIDE SA (EXTINGUIDA);A08185092;BARCELONA;ESPANA;U1;31/12/2010;3.261
324.;COOP DEL CAMPO VEGAS ALTAS;F06004014;NAVALVILLAR DE PELA;ESPANA;U1;31/12/2017;3.189
